Bellamy, Lou - Game Statistics
Date	Opponent	PTS	MIN	FGM-FGA	3PM-3PA	FTM-FTA	REB	AST	BLK	STL	TO	PF
11/25/25	SUNY Morrisville	9	34	3-12	3-7	0-0	3	3	0	3	3	3
12/09/25	Grove City	20	34	6-12	2-6	6-6	3	1	0	1	3	2
12/12/25	Fredonia	9	22	3-7	2-4	1-1	7	5	0	2	4	3
01/16/26	Russell Sage	8	9	3-6	2-3	0-0	2	0	0	1	0	1
02/06/26	SUNY Poly	7	25	3-9	1-6	0-0	4	4	0	0	8	1
02/07/26	Utica	11	30	4-16	3-12	0-0	4	1	2	1	1	4

-----
Manolopoulos, Emmanouil - Game Statistics
Date	Opponent	PTS	MIN	FGM-FGA	3PM-3PA	FTM-FTA	REB	AST	BLK	STL	TO	PF
11/07/25	Pitt.-Bradford	23	30	6-9	0-0	11-11	2	3	1	1	6	1
11/08/25	CWRU	15	30	6-9	0-1	3-5	5	3	1	0	2	1
11/13/25	Alfred St.	4	23	2-5	0-0	0-0	3	0	0	0	1	5
11/19/25	Hilbert	4	30	2-6	0-1	0-0	0	2	0	1	2	1
11/22/25	Buffalo State	3	26	1-6	0-0	1-2	4	4	0	0	5	4
11/25/25	SUNY Morrisville	2	19	1-2	0-0	0-2	2	3	0	0	4	2
01/23/26	Brockport	9	23	2-4	0-0	5-6	1	4	0	1	4	2
01/24/26	Geneseo	9	31	3-4	0-1	3-6	3	4	0	0	4	2
01/27/26	Alfred	14	37	4-9	1-2	5-7	5	7	0	2	5	4
01/30/26	Keuka	9	34	3-5	0-0	3-5	3	4	0	1	3	1
01/31/26	Elmira	2	27	1-5	0-1	0-0	5	2	0	1	6	0
02/06/26	SUNY Poly	10	31	3-4	0-0	4-4	2	2	0	2	1	0
02/07/26	Utica	3	32	1-3	1-1	0-0	4	1	0	1	4	2

-----
Idzi, Hudson - Game Statistics
Date	Opponent	PTS	MIN	FGM-FGA	3PM-3PA	FTM-FTA	REB	AST	BLK	STL	TO	PF
11/07/25	Pitt.-Bradford	10	28	4-4	0-0	2-7	5	2	1	0	2	1
11/08/25	CWRU	2	20	1-4	0-1	0-0	1	2	2	0	2	1
11/13/25	Alfred St.	2	3	0-0	0-0	2-2	1	0	0	0	0	0
01/03/26	Bethany (WV)	4	32	1-4	0-1	2-2	3	1	0	0	1	3
01/06/26	Nazareth	4	20	1-6	0-1	2-3	4	1	0	1	1	3
01/09/26	Utica	9	31	1-2	0-0	7-10	5	1	0	0	4	1
01/10/26	SUNY Poly	4	28	0-3	0-0	4-5	4	1	0	1	2	1
01/13/26	St. John Fisher	4	19	1-5	0-1	2-4	4	2	1	0	2	5
01/16/26	Russell Sage	2	28	1-4	0-0	0-3	8	0	1	0	2	2
01/17/26	Hartwick	4	33	2-4	0-1	0-0	5	3	1	0	0	4
01/23/26	Brockport	12	30	4-5	1-1	3-4	8	3	0	4	5	3
01/24/26	Geneseo	6	31	2-3	0-0	2-3	6	1	0	0	2	4
01/27/26	Alfred	7	25	2-3	0-0	3-3	2	3	1	3	0	5
01/30/26	Keuka	2	37	0-1	0-1	2-2	6	7	0	0	1	4
01/31/26	Elmira	2	29	1-4	0-1	0-0	5	2	0	0	2	5
02/06/26	SUNY Poly	4	26	1-3	0-1	2-2	3	1	0	1	2	2
02/07/26	Utica	1	29	0-3	0-1	1-2	4	1	1	1	2	2

-----
Wang, James - Game Statistics
Date	Opponent	PTS	MIN	FGM-FGA	3PM-3PA	FTM-FTA	REB	AST	BLK	STL	TO	PF
11/07/25	Pitt.-Bradford	0	9	0-0	0-0	0-0	1	0	0	0	1	1
11/08/25	CWRU	8	18	3-6	1-4	1-1	1	1	1	1	2	2
11/13/25	Alfred St.	8	17	3-4	2-3	0-0	3	0	0	0	3	2
11/19/25	Hilbert	3	14	1-3	1-3	0-0	2	2	0	0	1	0
11/25/25	SUNY Morrisville	4	13	2-8	0-3	0-0	3	1	0	0	1	1
12/09/25	Grove City	5	20	2-5	1-4	0-0	2	0	0	1	0	1
12/12/25	Fredonia	9	26	3-4	3-4	0-0	3	3	1	0	0	3
01/03/26	Bethany (WV)	0	10	0-2	0-0	0-0	1	0	0	0	0	0
01/06/26	Nazareth	0	15	0-3	0-3	0-0	3	1	1	1	1	1
01/09/26	Utica	9	24	3-5	3-4	0-0	4	0	0	3	1	1

-----
Sisson, Zach - Game Statistics
Date	Opponent	PTS	MIN	FGM-FGA	3PM-3PA	FTM-FTA	REB	AST	BLK	STL	TO	PF
11/07/25	Pitt.-Bradford	0	5	0-1	0-1	0-0	0	1	0	1	2	2
